-1.000000,-0.000017,-0.016639,-0.000147,-0.000955
-1.000000,-0.000017,-0.016639,-0.000147,-0.000955
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.608197,-1.579675,-1.460570,-0.448861, 
0,-0.607483,-1.579320,-1.460011,-0.449043, 
0,-0.608365,-1.580058,-1.459831,-0.449475, 
0,-0.607923,-1.579870,-1.458922,-0.449441, 
0,-0.607792,-1.579716,-1.458445,-0.449798, 
0,-0.606905,-1.578946,-1.457332,-0.449602, 
0,-0.607537,-1.579639,-1.457249,-0.450593, 
0,-0.607034,-1.578873,-1.455926,-0.450162, 
0,-0.606372,-1.578100,-1.454532,-0.449502, 
0,-0.605956,-1.577661,-1.453309,-0.449209, 
0,-0.605916,-1.577639,-1.452798,-0.449629, 
0,-0.605746,-1.577494,-1.451903,-0.449507, 
0,-0.604671,-1.576750,-1.450266,-0.448938, 
0,-0.604215,-1.576741,-1.448631,-0.448330, 
0,-0.604257,-1.576803,-1.447902,-0.448149, 
0,-0.603963,-1.576584,-1.447217,-0.447955, 
0,-0.603932,-1.576668,-1.446362,-0.447828, 
0,-0.603223,-1.576386,-1.445255,-0.447509, 
0,-0.603369,-1.576749,-1.445341,-0.448059, 
0,-0.602743,-1.576532,-1.444980,-0.448220, 
0,-0.602736,-1.576707,-1.444191,-0.447920, 
0,-0.601820,-1.576181,-1.443473,-0.446993, 
0,-0.602270,-1.576799,-1.443738,-0.447698, 
0,-0.602449,-1.577058,-1.443543,-0.450608, 
0,-0.601942,-1.577098,-1.442884,-0.448129, 
0,-0.601517,-1.577263,-1.442169,-0.448117, 
0,-0.600777,-1.577142,-1.441552,-0.447932, 
0,-0.601011,-1.577689,-1.441099,-0.447977, 
0,-0.600657,-1.577654,-1.439959,-0.447532, 
0,-0.599170,-1.576750,-1.438619,-0.446791, 
0,-0.599331,-1.576767,-1.438477,-0.445254, 
0,-0.598972,-1.576425,-1.437836,-0.445832, 
0,-0.599354,-1.576968,-1.437967,-0.447050, 
0,-0.598690,-1.576397,-1.437362,-0.446858, 
0,-0.598861,-1.576839,-1.437469,-0.447489, 
0,-0.598728,-1.576832,-1.436771,-0.447288, 
0,-0.598341,-1.576546,-1.435928,-0.446679, 
0,-0.598165,-1.576575,-1.435836,-0.447032, 
0,-0.597602,-1.576009,-1.434956,-0.446771, 
0,-0.597196,-1.575273,-1.434389,-0.446758, 
0,-0.597246,-1.575420,-1.434120,-0.447212, 
0,-0.596731,-1.575086,-1.433543,-0.447120, 
0,-0.596333,-1.574878,-1.432415,-0.446899, 
0,-0.595927,-1.574716,-1.431612,-0.446874, 
0,-0.595274,-1.574575,-1.430781,-0.446744, 
0,-0.594679,-1.574173,-1.429811,-0.446056, 
0,-0.594639,-1.574334,-1.429103,-0.445472, 
0,-0.593884,-1.574101,-1.428585,-0.445413, 
0,-0.594089,-1.574417,-1.428217,-0.445094, 
0,-0.594005,-1.574549,-1.427340,-0.444434, 
0,-0.593264,-1.574031,-1.426241,-0.443734, 
0,-0.592868,-1.573945,-1.426182,-0.443549, 
0,-0.592645,-1.573763,-1.425700,-0.443345, 
0,-0.592782,-1.574394,-1.425622,-0.443631, 
0,-0.593404,-1.574800,-1.426096,-0.443796, 
0,-0.592255,-1.573699,-1.425025,-0.442384, 
0,-0.591968,-1.574027,-1.425167,-0.442661, 
0,-0.592498,-1.574580,-1.425833,-0.443349, 
0,-0.591452,-1.573626,-1.424753,-0.441895, 
0,-0.591586,-1.574406,-1.425564,-0.442691, 
0,-0.590350,-1.574851,-1.425726,-0.442889, 
0,-0.591353,-1.574870,-1.425347,-0.442505, 
0,-0.591202,-1.574303,-1.424590,-0.441443, 
0,-0.591422,-1.574691,-1.425449,-0.442136, 
0,-0.591322,-1.574360,-1.425627,-0.442194, 
0,-0.591667,-1.574784,-1.425654,-0.442218, 
0,-0.590947,-1.573928,-1.425541,-0.441762, 
0,-0.590665,-1.573157,-1.425342,-0.441211, 
0,-0.590755,-1.572878,-1.425149,-0.440945, 
0,-0.590485,-1.572863,-1.424559,-0.440985, 
0,-0.590857,-1.572883,-1.425323,-0.441193, 
0,-0.590219,-1.572639,-1.425058,-0.441260, 
0,-0.590437,-1.573186,-1.424752,-0.441261, 
0,-0.589381,-1.572584,-1.424052,-0.439869, 
0,-0.589792,-1.573318,-1.423979,-0.440029, 
0,-0.589866,-1.573972,-1.424250,-0.440154, 
0,-0.589314,-1.573729,-1.424288,-0.439892, 
0,-0.589890,-1.574492,-1.424226,-0.439572, 
0,-0.590301,-1.574959,-1.424601,-0.441720, 
0,-0.589235,-1.574153,-1.424264,-0.440437, 
0,-0.589369,-1.574483,-1.424191,-0.440130, 
0,-0.589249,-1.574357,-1.423523,-0.439201, 
0,-0.588926,-1.574351,-1.423403,-0.439196, 
0,-0.589042,-1.574440,-1.423775,-0.439278, 
0,-0.587888,-1.573632,-1.423366,-0.438750, 
0,-0.587473,-1.573768,-1.422915,-0.438397, 
0,-0.588356,-1.575043,-1.424217,-0.439789, 
0,-0.588352,-1.575098,-1.423949,-0.439428, 
0,-0.588267,-1.575512,-1.424677,-0.439436, 
0,-0.588450,-1.576344,-1.425334,-0.439599, 
0,-0.587622,-1.575573,-1.424555,-0.438501, 
0,-0.588408,-1.576464,-1.425963,-0.438894, 
0,-0.588722,-1.576529,-1.426118,-0.438455, 
0,-0.589167,-1.577139,-1.427159,-0.439225, 
0,-0.588857,-1.576684,-1.426256,-0.438092, 
0,-0.588571,-1.576408,-1.425773,-0.437218, 
0,-0.588024,-1.575695,-1.425803,-0.436210, 
0,-0.587306,-1.575364,-1.426572,-0.436587, 
0,-0.587928,-1.576074,-1.427795,-0.437435, 
0,-0.587579,-1.576247,-1.427794,-0.437232, 
0,-0.587406,-1.576401,-1.427456,-0.436939, 
0,-0.586276,-1.575700,-1.427012,-0.436327, 
0,-0.585722,-1.575352,-1.426814,-0.435877, 
0,-0.585642,-1.575374,-1.427360,-0.435675, 
0,-0.585566,-1.575364,-1.427753,-0.435936, 
0,-0.585353,-1.575225,-1.427966,-0.435841, 
0,-0.584372,-1.574676,-1.427939,-0.435383, 
0,-0.583473,-1.574206,-1.427829,-0.434775, 
0,-0.583348,-1.573758,-1.427180,-0.433640, 
0,-0.583030,-1.573920,-1.428007,-0.433785, 
0,-0.583724,-1.574372,-1.428595,-0.433860, 
0,-0.583533,-1.574832,-1.429121,-0.433791, 
0,-0.583260,-1.574829,-1.428984,-0.433412, 
0,-0.582315,-1.574499,-1.429644,-0.433404, 
0,-0.582966,-1.575357,-1.429822,-0.433442, 
0,-0.582860,-1.575382,-1.430362,-0.430030, 
0,-0.583209,-1.575744,-1.430711,-0.430566, 
0,-0.583510,-1.575827,-1.431373,-0.433342, 
0,-0.582828,-1.574909,-1.430505,-0.433023, 
0,-0.583406,-1.575704,-1.431559,-0.433625, 
0,-0.582467,-1.574802,-1.430885,-0.432711, 
0,-0.582800,-1.575499,-1.431696,-0.433622, 
0,-0.582335,-1.575425,-1.432180,-0.433743, 
0,-0.582610,-1.576233,-1.432277,-0.433729, 
0,-0.582347,-1.576016,-1.431777,-0.432461, 
0,-0.582955,-1.576955,-1.433089,-0.433152, 
0,-0.583200,-1.577513,-1.433980,-0.433641, 
0,-0.583323,-1.577962,-1.434263,-0.433634, 
0,-0.583561,-1.578196,-1.434938,-0.433107, 
0,-0.583957,-1.578699,-1.436033,-0.433149, 
0,-0.584549,-1.579532,-1.437129,-0.433241, 
0,-0.584566,-1.579966,-1.437559,-0.433239, 
0,-0.584524,-1.579736,-1.437920,-0.432638, 
0,-0.584604,-1.579516,-1.438952,-0.432812, 
0,-0.584185,-1.578996,-1.439328,-0.432998, 
0,-0.585373,-1.580143,-1.440564,-0.433327, 
0,-0.585888,-1.580004,-1.441096,-0.432941, 
0,-0.585839,-1.579829,-1.441239,-0.432662, 
0,-0.585619,-1.579189,-1.442034,-0.432423, 
0,-0.586373,-1.579633,-1.442894,-0.432672, 
0,-0.585638,-1.578432,-1.442420,-0.431176, 
0,-0.585716,-1.578668,-1.443537,-0.431658, 
0,-0.585464,-1.578185,-1.443790,-0.431478, 
0,-0.586158,-1.578365,-1.444305,-0.431015, 
0,-0.585725,-1.578115,-1.444369,-0.430883, 
0,-0.585583,-1.578093,-1.444792,-0.431083, 
0,-0.585580,-1.578218,-1.445201,-0.431285, 
0,-0.585429,-1.578154,-1.445656,-0.431587, 
0,-0.584817,-1.577812,-1.445448,-0.431754, 
0,-0.585940,-1.578766,-1.445021,-0.432069, 
0,-0.584775,-1.577623,-1.444447,-0.430346, 
0,-0.584025,-1.577271,-1.444200,-0.429440, 
0,-0.594373,-1.589311,-1.451926,-0.440866, 
0,-0.584745,-1.578145,-1.445027,-0.430247, 
0,-0.587004,-1.580913,-1.446748,-0.432873, 
2,-0.585685,-1.579434,-1.445962,-0.432077,"Interferent"
0,-0.586756,-1.582013,-1.447083,-0.435356, 
0,-0.604053,-1.616426,-1.462797,-0.470519, 
0,-0.570273,-1.546093,-1.430700,-0.403917, 
0,-0.580201,-1.570472,-1.441622,-0.427272, 
0,-0.573507,-1.557047,-1.438591,-0.413439, 
0,-0.609783,-1.628910,-1.460687,-0.483040, 
0,-0.559003,-1.549580,-1.413975,-0.388877, 
0,-0.576791,-1.614597,-1.434253,-0.424333, 
0,-0.581188,-1.617318,-1.439400,-0.430549, 
0,-0.581164,-1.612986,-1.439574,-0.431312, 
0,-0.581155,-1.627115,-1.439215,-0.433304, 
0,-0.581355,-1.641037,-1.440160,-0.434389, 
0,-0.582490,-1.650609,-1.441135,-0.435288, 
0,-0.581599,-1.654204,-1.440525,-0.434804, 
0,-0.583286,-1.659283,-1.442567,-0.437585, 
0,-0.581191,-1.660614,-1.440479,-0.435298, 
0,-0.584876,-1.669099,-1.443451,-0.439616, 
0,-0.582832,-1.670725,-1.441812,-0.437199, 
0,-0.581453,-1.673144,-1.441082,-0.436198, 
0,-0.581115,-1.676081,-1.440517,-0.436691, 
0,-0.581210,-1.680413,-1.441144,-0.439321, 
0,-0.582318,-1.684916,-1.441471,-0.440690, 
0,-0.582716,-1.688966,-1.441796,-0.440334, 
0,-0.583216,-1.692527,-1.442736,-0.440001, 
0,-0.583759,-1.696172,-1.443624,-0.439607, 
0,-0.584432,-1.699787,-1.444168,-0.438866, 
0,-0.586617,-1.705977,-1.447304,-0.441588, 
0,-0.588020,-1.710069,-1.449217,-0.442670, 
0,-0.586747,-1.710808,-1.449012,-0.440504, 
0,-0.586492,-1.714054,-1.449434,-0.440065, 
0,-0.586713,-1.717768,-1.450504,-0.440149, 
0,-0.586947,-1.720296,-1.450832,-0.439935, 
0,-0.586596,-1.721889,-1.450924,-0.439156, 
0,-0.586963,-1.724246,-1.451569,-0.439319, 
0,-0.586602,-1.725696,-1.451723,-0.439017, 
0,-0.586834,-1.727745,-1.452273,-0.438966, 
0,-0.586312,-1.729833,-1.451768,-0.438310, 
0,-0.586737,-1.732364,-1.452030,-0.438378, 
0,-0.586618,-1.734543,-1.452102,-0.438940, 
0,-0.586273,-1.736527,-1.452443,-0.439156, 
0,-0.586976,-1.739168,-1.452982,-0.439142, 
0,-0.585649,-1.739801,-1.451891,-0.437051, 
0,-0.586945,-1.742496,-1.453551,-0.438665, 
0,-0.587296,-1.744934,-1.453980,-0.438750, 
0,-0.587614,-1.748133,-1.454021,-0.438351, 
0,-0.588042,-1.750886,-1.454896,-0.438544, 
0,-0.588268,-1.752655,-1.455274,-0.438652, 
0,-0.588884,-1.755192,-1.455922,-0.439082, 
0,-0.588358,-1.756943,-1.455424,-0.438158, 
0,-0.588622,-1.759316,-1.455553,-0.437832, 
0,-0.588849,-1.761528,-1.456462,-0.438480, 
0,-0.588572,-1.763760,-1.456575,-0.438335, 
0,-0.589039,-1.766705,-1.456985,-0.438744, 
0,-0.596841,-1.769342,-1.457719,-0.439389, 
0,-0.594510,-1.770894,-1.457614,-0.439402, 
0,-0.590971,-1.773084,-1.457417,-0.439327, 
0,-0.589471,-1.775610,-1.457819,-0.439708, 
0,-0.588621,-1.777735,-1.457451,-0.439316, 
0,-0.588152,-1.779879,-1.457547,-0.439303, 
0,-0.588420,-1.782058,-1.457824,-0.439281, 
0,-0.588692,-1.783868,-1.457363,-0.438964, 
0,-0.588507,-1.785656,-1.457701,-0.439419, 
0,-0.589194,-1.787922,-1.458516,-0.440061, 
0,-0.588951,-1.789024,-1.457973,-0.439528, 
0,-0.589492,-1.790621,-1.458804,-0.440334, 
0,-0.589373,-1.791840,-1.458446,-0.439919, 
0,-0.589434,-1.794045,-1.458811,-0.438951, 
0,-0.589413,-1.795887,-1.458884,-0.439276, 
0,-0.589462,-1.797817,-1.459180,-0.440759, 
0,-0.588443,-1.798735,-1.457743,-0.439730, 
0,-0.587798,-1.799261,-1.457984,-0.440393, 
0,-0.587862,-1.800217,-1.457730,-0.440548, 
0,-0.588044,-1.801355,-1.457603,-0.440886, 
0,-0.587826,-1.802412,-1.456662,-0.440608, 
0,-0.587345,-1.803185,-1.455104,-0.439236, 
0,-0.587181,-1.805063,-1.453968,-0.438534, 
0,-0.586415,-1.806297,-1.453870,-0.438786, 
0,-0.585829,-1.807354,-1.453038,-0.438114, 
0,-0.585191,-1.808902,-1.452724,-0.438088, 
0,-0.585216,-1.810548,-1.452560,-0.438381, 
0,-0.585434,-1.811763,-1.451941,-0.438527, 
0,-0.585165,-1.813551,-1.451207,-0.438248, 
0,-0.585487,-1.816461,-1.450833,-0.438060, 
0,-0.585287,-1.817838,-1.450941,-0.438408, 
0,-0.585225,-1.819229,-1.451428,-0.438239, 
0,-0.584963,-1.820206,-1.451368,-0.438378, 
0,-0.585470,-1.822368,-1.451538,-0.438966, 
0,-0.585266,-1.823375,-1.451278,-0.439027, 
0,-0.585192,-1.823766,-1.450477,-0.438913, 
0,-0.584895,-1.824923,-1.450586,-0.438773, 
0,-0.585008,-1.826085,-1.450909,-0.439140, 
0,-0.585574,-1.828312,-1.450970,-0.439357, 
0,-0.585574,-1.829404,-1.450080,-0.438582, 
0,-0.585492,-1.829941,-1.449442,-0.438034, 
0,-0.585820,-1.831305,-1.450239,-0.438496, 
0,-0.585826,-1.832607,-1.449611,-0.432605, 
0,-0.585591,-1.834011,-1.450490,-0.432769, 
0,-0.585505,-1.834763,-1.450237,-0.433961, 
0,-0.585546,-1.835666,-1.450462,-0.436078, 
0,-0.585047,-1.836601,-1.450584,-0.437326, 
0,-0.585232,-1.838379,-1.450944,-0.438413, 
0,-0.585106,-1.840936,-1.450759,-0.438895, 
0,-0.584201,-1.842256,-1.450145,-0.438686, 
0,-0.583881,-1.843020,-1.450347,-0.438841, 
0,-0.584230,-1.844171,-1.450683,-0.439365, 
0,-0.584102,-1.845079,-1.450301,-0.439541, 
0,-0.584039,-1.845839,-1.449537,-0.439334, 
0,-0.583336,-1.846096,-1.448248,-0.437913, 
0,-0.582931,-1.846912,-1.447900,-0.437977, 
0,-0.583078,-1.848377,-1.448274,-0.438854, 
0,-0.582868,-1.849187,-1.447933,-0.438751, 
0,-0.583101,-1.851761,-1.446936,-0.437800, 
0,-0.582597,-1.853785,-1.446774,-0.437939, 
0,-0.582714,-1.853758,-1.446564,-0.438623, 
0,-0.583000,-1.854317,-1.446881,-0.439503, 
0,-0.582672,-1.855061,-1.445994,-0.439127, 
0,-0.582507,-1.856214,-1.445399,-0.438521, 
0,-0.582652,-1.857103,-1.444875,-0.438524, 
0,-0.581873,-1.857508,-1.444166,-0.438241, 
0,-0.581421,-1.857787,-1.444088,-0.438456, 
0,-0.582021,-1.859354,-1.444239,-0.438609, 
0,-0.581157,-1.860100,-1.443382,-0.437482, 
0,-0.581557,-1.861559,-1.444125,-0.438649, 
0,-0.581584,-1.863754,-1.443748,-0.438896, 
0,-0.581032,-1.864500,-1.443075,-0.438408, 
0,-0.581001,-1.865528,-1.442611,-0.438251, 
0,-0.581420,-1.866037,-1.442294,-0.438324, 
0,-0.579676,-1.865722,-1.440972,-0.437491, 
0,-0.580150,-1.866374,-1.441358,-0.437832, 
0,-0.579311,-1.866493,-1.440116,-0.437094, 
0,-0.579477,-1.867214,-1.439503,-0.437124, 
0,-0.579445,-1.869031,-1.439284,-0.437506, 
0,-0.579486,-1.869806,-1.438020,-0.436298, 
0,-0.578583,-1.869883,-1.438330,-0.437191, 
0,-0.579120,-1.870444,-1.438328,-0.437735, 
0,-0.578354,-1.870397,-1.437349,-0.437658, 
0,-0.579074,-1.872283,-1.436979,-0.437916, 
0,-0.578941,-1.872727,-1.436299,-0.437960, 
0,-0.578606,-1.873084,-1.435970,-0.438178, 
0,-0.578614,-1.874372,-1.435101,-0.438033, 
0,-0.577880,-1.874415,-1.434347,-0.437565, 
0,-0.577691,-1.874780,-1.433901,-0.437520, 
0,-0.578574,-1.877624,-1.434156,-0.437928, 
0,-0.578608,-1.877506,-1.433801,-0.437250, 
0,-0.583084,-1.882448,-1.437285,-0.443494, 
0,-0.576828,-1.875551,-1.431789,-0.436929, 
0,-0.576262,-1.875921,-1.431162,-0.436809, 
0,-0.579567,-1.881023,-1.432514,-0.440518, 
0,-0.576284,-1.877254,-1.430194,-0.437714, 
0,-0.579169,-1.881174,-1.432064,-0.441389, 
0,-0.579493,-1.882647,-1.431546,-0.441026, 
0,-0.578997,-1.882318,-1.431318,-0.440440, 
0,-0.579379,-1.882739,-1.431495,-0.440123, 
0,-0.578486,-1.881678,-1.430909,-0.439095, 
0,-0.578400,-1.881378,-1.430824,-0.438890, 
0,-0.579002,-1.883295,-1.431043,-0.438520, 
0,-0.578217,-1.883729,-1.431138,-0.438785, 
0,-0.578391,-1.884928,-1.430539,-0.438380, 
0,-0.577793,-1.884802,-1.430684,-0.438294, 
0,-0.578560,-1.885318,-1.431502,-0.438974, 
0,-0.578066,-1.886363,-1.431173,-0.438672, 
0,-0.578309,-1.887568,-1.431088,-0.438538, 
0,-0.578238,-1.889011,-1.431068,-0.438326, 
0,-0.578713,-1.890252,-1.431259,-0.437992, 
0,-0.578201,-1.890328,-1.431600,-0.437815, 
0,-0.578392,-1.890613,-1.431651,-0.437455, 
0,-0.577825,-1.890525,-1.431649,-0.437187, 
0,-0.577860,-1.890993,-1.431985,-0.437648, 
0,-0.577621,-1.891827,-1.432151,-0.437774, 
0,-0.577671,-1.893503,-1.431515,-0.436926, 
0,-0.577854,-1.894979,-1.432386,-0.437349, 
0,-0.576859,-1.894321,-1.432153,-0.436900, 
0,-0.578129,-1.895886,-1.432680,-0.437536, 
0,-0.577943,-1.895889,-1.433015,-0.437717, 
0,-0.577326,-1.895267,-1.432659,-0.437332, 
0,-0.577064,-1.894582,-1.432345,-0.437685, 
0,-0.577191,-1.895037,-1.432286,-0.437745, 
0,-0.577118,-1.895683,-1.432200,-0.437881, 
0,-0.576594,-1.895089,-1.431425,-0.437633, 
3,-0.570734,-1.889262,-1.426159,-0.431118,"Analyte Added"
0,-0.572561,-1.891075,-1.427155,-0.432859, 
0,-0.578759,-1.898253,-1.431218,-0.440330, 
0,-0.580464,-1.902491,-1.433857,-0.444359, 
0,-0.592893,-1.932283,-1.446302,-0.473158, 
0,-0.562717,-1.868621,-1.417707,-0.410920, 
0,-0.573132,-1.891412,-1.426341,-0.432138, 
0,-0.570689,-1.885019,-1.426265,-0.426194, 
0,-0.592722,-1.934102,-1.444231,-0.473236, 
0,-0.557455,-1.864373,-1.411375,-0.404870, 
0,-0.573728,-1.896098,-1.426636,-0.434752, 
0,-0.573434,-1.896022,-1.426747,-0.435058, 
0,-0.574906,-1.898106,-1.427407,-0.436356, 
0,-0.574702,-1.898245,-1.427730,-0.436168, 
0,-0.575109,-1.899827,-1.427616,-0.436033, 
0,-0.574972,-1.899788,-1.427347,-0.435902, 
0,-0.575737,-1.901808,-1.428110,-0.437050, 
0,-0.575026,-1.904232,-1.427542,-0.436116, 
0,-0.576869,-1.910437,-1.428806,-0.438136, 
0,-0.576064,-1.912478,-1.428368,-0.437621, 
0,-0.573855,-1.912440,-1.426861,-0.435742, 
0,-0.574865,-1.916250,-1.427349,-0.436935, 
0,-0.575286,-1.920427,-1.427271,-0.437319, 
0,-0.575374,-1.923300,-1.426538,-0.436522, 
0,-0.575113,-1.926540,-1.427035,-0.437107, 
0,-0.575493,-1.929920,-1.428146,-0.438731, 
0,-0.575650,-1.932576,-1.428072,-0.438952, 
0,-0.575821,-1.936638,-1.428469,-0.439564, 
0,-0.575805,-1.939681,-1.428342,-0.440255, 
0,-0.575780,-1.942895,-1.427954,-0.439981, 
0,-0.575353,-1.945199,-1.428534,-0.440452, 
0,-0.575776,-1.947248,-1.428880,-0.441355, 
0,-0.575599,-1.949793,-1.428613,-0.441623, 
0,-0.576172,-1.954024,-1.428826,-0.442083, 
0,-0.576241,-1.958680,-1.429299,-0.437997, 
0,-0.576376,-1.961740,-1.429521,-0.440904, 
0,-0.575843,-1.966190,-1.429161,-0.442232, 
0,-0.575841,-1.969580,-1.429330,-0.442995, 
0,-0.576635,-1.973634,-1.429990,-0.444277, 
0,-0.576593,-1.977078,-1.429508,-0.444272, 
0,-0.576517,-1.980316,-1.429620,-0.444289, 
0,-0.576281,-1.982987,-1.429235,-0.444326, 
0,-0.576287,-1.985576,-1.429225,-0.444596, 
0,-0.576293,-1.989640,-1.429619,-0.445382, 
0,-0.576116,-1.994301,-1.429338,-0.445774, 
0,-0.576436,-1.998500,-1.428630,-0.445551, 
0,-0.576268,-2.002313,-1.428656,-0.445748, 
0,-0.576356,-2.005703,-1.428382,-0.445979, 
